geneSymbol	HGNCID
HCC	HGNC:24587
CGI-59	HGNC:21608
PPCD2	HGNC:2216
CHH	HGNC:10031
tRNA-Gln-CTG-14-1	HGNC:38574
MtF	HGNC:17345
FLJ31424	HGNC:6893
TRM112	HGNC:26940
RP11-462G22.1	HGNC:50275
MGC40204	HGNC:24292
CED	HGNC:11766
CD158D	HGNC:6332
WARBM1	HGNC:17063
RNU1-106P	HGNC:48448
TRNAM3	HGNC:34574
desnutrin	HGNC:30802
PASD6	HGNC:19311
FLJ11467	HGNC:21874
Neucrin	HGNC:25054
n342419	HGNC:54417
tRNA-iMet-CAT-1-3	HGNC:34655
PCDH23	HGNC:23111
IGHV1/OR16-1	HGNC:5570
D8C6	HGNC:13145
FEM-2	HGNC:19388
hsa-mir-1260b	HGNC:38258
PDX1	HGNC:21350
DKFZp570I0164	HGNC:12881
NIR3	HGNC:21044
TSE1	HGNC:9388
Puf-A	HGNC:29676
dJ927M24.3	HGNC:16603
CDC2L1	HGNC:1729
NCRNA00307	HGNC:16727
NKX2.2	HGNC:7835
FLJ38866	HGNC:23030
C9orf25	HGNC:19920
H3F3	HGNC:4764
FIGLER5	HGNC:17200
ACCbeta	HGNC:85
FLJ25692	HGNC:26368
Dot3	HGNC:17028
KIAA0324	HGNC:16639
TRNAG12	HGNC:34641
AGT	HGNC:341
CTR	HGNC:1440
memA	HGNC:9162
LINC01715	HGNC:52502
LINC01573	HGNC:51192
C11orf88	HGNC:25061
KIAA0387	HGNC:9677
DEFB-26	HGNC:15900
hsa-mir-4304	HGNC:38276
DIP13B	HGNC:18242
HP09025	HGNC:52926
hsa-mir-633	HGNC:32889
GPRK6	HGNC:4545
Psgb-5-2	HGNC:2575
RLXH2	HGNC:10027
MKS8	HGNC:25774
ZA2G	HGNC:910
KIAA0153	HGNC:28974
HCA557b	HGNC:30476
MOAT-D	HGNC:54
MIR2964A	HGNC:41823
TPX1	HGNC:12024
LINC02867	HGNC:54519
C10orf44	HGNC:23583
FBXO26	HGNC:18754
MGC34799	HGNC:28539
DKFZp566F223	HGNC:30829
IGHD11	HGNC:5482
Cctd	HGNC:1617
MIRN1250	HGNC:35316
HSPD1-3P	HGNC:38592
ACHM3	HGNC:2153
HCGIV-08	HGNC:22927
C10orf21	HGNC:23495
tRNA-Gln-CTG-11-1	HGNC:35023
hCAP-1A	HGNC:26406
KRT25B	HGNC:30840
VCX3	HGNC:18159
GATD5B	HGNC:2520
SLC54A3	HGNC:44205
RX	HGNC:18662
uc002pyc	HGNC:48598
ALDH6	HGNC:409
LSM6P	HGNC:31738
HP	HGNC:2897
JAB1	HGNC:2240
p24ING1c	HGNC:6062
FLJ10844	HGNC:23421
MGC50844	HGNC:28743
WD	HGNC:11027
tRNA-Asp-GTC-6-1	HGNC:34712
OTTHUMG00000066820	HGNC:31978
kuz	HGNC:188
SCAR3	HGNC:12734
BFZB	HGNC:15891
FLJ90469	HGNC:28672
ENST00000305834	HGNC:13843
D6S54E	HGNC:13920
DLB1	HGNC:13747
BTF3	HGNC:1140
HACC275	HGNC:85
DFF45	HGNC:2772
KAL3	HGNC:15836
MRF	HGNC:1181
RUTBC1	HGNC:29026
FEM1A	HGNC:16933
Ccr4c	HGNC:14254
ALDOS	HGNC:2592
EMU1	HGNC:18036
SFRS2B	HGNC:16988
DNHL1	HGNC:2951
LINCR-0002	HGNC:52874
HTCD37	HGNC:13420
AHNAK1	HGNC:347
STAP-1	HGNC:24133
U70G	HGNC:34359
GOLPH6	HGNC:17500
14q(0)	HGNC:32777
RbAp46	HGNC:9890
bHLHa6	HGNC:7764
H3P	HGNC:6168
IFI15	HGNC:4053
Lea1	HGNC:11152
DKFZp762C1112	HGNC:25441
lnc13728	HGNC:44188
